site,block_number,treatment,species,n_concentration_mg_per_g,p_concentration_mg_per_g,,,,,,
DD,1,Screefed,Birch,9.4835,0.9033,,,,,,
DD,1,Uncultivated,Birch,9.8551,1.2026,,,,,,
DD,1,Screefed,Pine,5.7438,0.4416,,,,,,
DD,1,Uncultivated,Pine,7.0004,0.5210,,,,,,
DD,2,Screefed,Birch,8.8856,1.1800,,,,,,
DD,2,Uncultivated,Birch,8.5464,0.9551,,,,,,
DD,2,Screefed,Pine,9.2722,0.4531,,,,,,
DD,2,Uncultivated,Pine,7.1681,0.4430,,,,,,
DD,3,Screefed,Birch,7.9350,1.1618,,,,,,
DD,3,Uncultivated,Birch,7.9874,1.4410,,,,,,
DD,3,Screefed,Pine,7.9595,0.5060,,,,,,
DD,3,Uncultivated,Pine,6.8468,0.5015,,,,,,
DD,4,Screefed,Birch,10.3121,1.2887,,,,,,
DD,4,Uncultivated,Birch,9.4301,1.1249,,,,,,
DD,4,Screefed,Pine,7.5713,0.4940,,,,,,
DD,4,Uncultivated,Pine,4.5777,0.3579,,,,,,
SD,5,Mounded,Birch,25.1753,0.3676,,,,,,
SD,5,Uncultivated,Birch,6.9613,0.4499,,,,,,
SD,5,Mounded,Pine,12.1878,0.2690,,,,,,
SD,5,Uncultivated,Pine,4.0831,1.5215,,,,,,
SD,6,Mounded,Birch,16.5470,0.4731,,,,,,
SD,6,Uncultivated,Birch,7.6059,0.4356,,,,,,
SD,6,Mounded,Pine,12.2999,0.4636,,,,,,
SD,6,Uncultivated,Pine,4.2088,0.3606,,,,,,
SD,7,Screefed,Birch,8.8725,0.9710,,,,,,
SD,7,Uncultivated,Birch,8.0323,0.4771,,,,,,
SD,7,Screefed,Pine,3.4529,0.3317,,,,,,
SD,7,Uncultivated,Pine,3.7853,0.3639,,,,,,
SD,8,Screefed,Birch,8.7363,0.4115,,,,,,
SD,8,Uncultivated,Birch,6.9282,0.4431,,,,,,
SD,8,Screefed,Pine,3.5858,0.3137,,,,,,
SD,8,Uncultivated,Pine,3.4169,0.3270,,,,,,
